Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Driver_Cancellation_Reason,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Method,Driver_ID
14/06/2024,4:24:12 pm,"""CNR9070334""",Completed,"""CID6680340""",Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,,null,,null,,null,181,19.84,4.2,4.9,Cash,D088
18/09/2024,8:09:38 am,"""CNR9551927""",No Driver Found,"""CID7568143""",Auto,Vidhan Sabha,AIIMS,,,,null,,null,,null,,,,,null,D086
25/06/2024,10:44:15 pm,"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,4.6,,,null,1,Personal & Car related issues,,null,,,,,null,D099
11/09/2024,7:29:39 pm,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,,null,,null,,null,394,21.44,4.1,4.7,UPI,D088
18/10/2024,6:28:53 pm,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14,30.9,,null,,null,,null,836,39.55,4.7,4.4,UPI,D074
07/06/2024,3:05:35 pm,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,,null,,null,,null,410,34.76,4,4.9,Uber Wallet,D070
01/07/2024,10:51:16 am,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,,null,,null,,null,401,21.97,4.9,4.3,UPI,D039
15/12/2024,3:08:25 pm,"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,6,,,null,1,Customer related issue,,null,,,,,null,D012
24/11/2024,9:07:10 am,"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,12.4,,1,Driver is not moving towards pickup location,,null,,null,,,,,null,D107
24/05/2024,7:53:57 pm,"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,10.3,,,null,1,Customer related issue,,null,,,,,null,D115
14/12/2024,9:27:04 pm,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,,null,,null,,null,264,13.64,3.8,4.7,Uber Wallet,D004
29/07/2024,6:28:22 am,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7,21.3,,null,,null,,null,183,4.5,5,4.2,UPI,D083
23/02/2024,11:02:45 am,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,,null,,null,,null,713,38.03,3.7,3.6,UPI,D083
09/03/2024,8:14:24 pm,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,,null,,null,,null,113,14.53,4.6,4.9,UPI,D072
28/08/2024,4:30:14 pm,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,,null,,null,,null,767,7.39,3.8,4.6,Debit Card,D074
08/08/2024,6:34:38 am,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,,null,,null,,null,495,10.23,3.8,4.2,Credit Card,D124
26/01/2024,9:44:00 am,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,,,null,1,Personal & Car related issues,,null,,,,,null,D077
12/04/2024,7:42:35 pm,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,,,,null,,null,,null,,,,,null,D017
05/04/2024,6:57:12 pm,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,,null,,null,1,Vehicle Breakdown,304,1.98,,,UPI,D114
03/11/2024,12:24:59 pm,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,,null,,null,,null,2847,39.21,3.1,4.6,Debit Card,D074
18/05/2024,5:37:52 pm,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,,,null,1,More than permitted people in there,,null,,,,,null,D088
15/11/2024,5:53:55 am,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41,,null,,null,,null,282,8.36,3.8,4.4,UPI,D091
04/02/2024,6:08:04 pm,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,,null,,null,,null,656,6.39,5,4.9,Uber Wallet,D002
29/05/2024,2:05:10 pm,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2,19.4,,null,,null,,null,134,46.66,3.8,4.4,Credit Card,D085
13/07/2024,7:53:15 pm,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,5.4,,,null,1,Customer related issue,,null,,,,,null,D003
07/06/2024,7:21:10 pm,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,,null,,null,,null,470,27.07,3.7,4.2,Cash,D015
16/05/2024,1:04:31 pm,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,,null,,null,,null,187,12.16,4.9,4.3,UPI,D086
02/10/2024,3:10:35 am,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,,null,,null,,null,186,10.28,4.4,4.6,UPI,D012
26/02/2024,3:43:16 pm,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10,35.8,,null,,null,,null,70,44.42,4.1,4.4,UPI,D104
10/09/2024,1:02:42 pm,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11,,1,Driver is not moving towards pickup location,,null,,null,,,,,null,D102
12/09/2024,9:14:57 am,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8,,,null,1,Personal & Car related issues,,null,,,,,null,D076
24/01/2024,10:47:57 am,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,,null,,null,,null,273,34.64,4.5,4.6,Uber Wallet,D085
12/02/2024,7:42:39 pm,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,,null,,null,1,Other Issue,966,18.3,,,Debit Card,D014
02/10/2024,7:17:00 pm,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,,,null,1,More than permitted people in there,,null,,,,,null,D084
01/04/2024,9:14:19 pm,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,,null,,null,,null,251,20.91,4.2,3.6,Debit Card,D008
18/09/2024,9:06:36 pm,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,,,null,1,More than permitted people in there,,null,,,,,null,D066
02/08/2024,7:17:07 am,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,,1,Driver asked to cancel,,null,,null,,,,,null,D081
30/09/2024,1:10:50 pm,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,,null,,null,1,Vehicle Breakdown,453,19.24,,,Debit Card,D106
16/06/2024,12:44:47 am,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,,null,,null,,null,246,8.13,4.2,4.5,UPI,D001
18/09/2024,9:33:55 am,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,,null,,null,,null,237,2.96,3.9,3.3,UPI,D083
04/05/2024,9:26:59 pm,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,,null,,null,1,Vehicle Breakdown,1581,1.82,,,Cash,D089
03/06/2024,6:14:47 pm,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,,null,,null,,null,379,33.04,4.2,4.5,Uber Wallet,D073
03/10/2024,10:20:34 pm,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,,null,,null,,null,545,44.7,4.3,4.3,Cash,D091
25/05/2024,11:24:29 am,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3,35.4,,null,,null,,null,479,7.38,4.2,4.6,UPI,D081
04/03/2024,5:46:46 pm,"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,11.2,,,null,1,More than permitted people in there,,null,,,,,null,D039
10/11/2024,5:13:57 am,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,,null,,null,,null,647,24.93,4.3,4.7,Uber Wallet,D075
11/09/2024,10:36:44 am,"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,4.3,,,null,1,More than permitted people in there,,null,,,,,null,D087
11/04/2024,3:43:34 pm,"""CNR9773309""",No Driver Found,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,,,,null,,null,,null,,,,,null,D121
01/06/2024,10:03:27 am,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,,null,,null,,null,125,25.16,4.3,5,Credit Card,D027
09/05/2024,10:44:30 am,"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,,,null,1,Customer related issue,,null,,,,,null,D027
30/07/2024,12:02:26 pm,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,,null,,null,,null,375,48.85,3.3,3.3,Cash,D014
25/02/2024,4:23:19 pm,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33,,null,,null,,null,310,24.41,4.6,3.8,Debit Card,D086
09/02/2024,11:15:59 am,"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,16.6,,1,Driver is not moving towards pickup location,,null,,null,,,,,null,D077
02/03/2024,4:59:03 am,"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,5.4,,,null,1,Customer related issue,,null,,,,,null,D036
27/08/2024,6:22:02 pm,"""CNR3740694""",Incomplete,"""CID5885514""",Auto,Aya Nagar,Green Park,2.3,10.1,,null,,null,1,Vehicle Breakdown,370,13.85,,,Cash,D073
08/03/2024,9:28:38 am,"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,5.8,,,null,1,More than permitted people in there,,null,,,,,null,D027
20/03/2024,9:59:11 am,"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,6.7,,,null,1,Customer related issue,,null,,,,,null,D023
25/01/2024,12:39:21 pm,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,,null,,null,,null,291,3.71,3.2,4.3,UPI,D111
11/04/2024,11:14:35 am,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,,null,,null,,null,114,32.98,4.3,4.5,Uber Wallet,D070
17/06/2024,8:25:47 pm,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4,44.5,,null,,null,,null,464,11.2,4.5,4.2,Cash,D078
29/07/2024,7:52:48 pm,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,,null,,null,,null,160,45.4,4,5,Cash,D028
22/12/2024,10:53:20 am,"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,11.1,,,null,1,Personal & Car related issues,,null,,,,,null,D071
21/12/2024,9:40:00 pm,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,,null,,null,,null,206,28.78,4.1,3.7,Cash,D112
23/02/2024,11:38:09 am,"""CNR6796311""",Incomplete,"""CID1880505""",Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,,null,,null,1,Customer Demand,217,2.81,,,Credit Card,D085
05/05/2024,9:22:39 pm,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,,null,,null,,null,633,17.34,4.5,4.9,Credit Card,D111
08/11/2024,5:01:10 pm,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,,null,,null,,null,717,9.38,4.2,4.5,UPI,D095
26/12/2024,9:21:55 pm,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6,26.7,,null,,null,,null,151,11.9,4.9,4.5,UPI,D023
05/09/2024,7:44:18 am,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5,34.7,,null,,null,,null,512,35.66,3.7,4.9,UPI,D032
25/11/2024,8:29:14 am,"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12,,1,Driver asked to cancel,,null,,null,,,,,null,D014
15/08/2024,6:40:03 pm,"""CNR5793527""",Cancelled by Driver,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini,3.2,,,null,1,Personal & Car related issues,,null,,,,,null,D012
10/02/2024,9:17:39 am,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,,null,,null,,null,1390,21.79,5,4.9,UPI,D018
26/09/2024,11:33:51 am,"""CNR5266935""",Cancelled by Driver,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,,,null,1,More than permitted people in there,,null,,,,,null,D013
01/07/2024,5:39:56 pm,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23,,null,,null,,null,224,7.86,4.1,4.2,Cash,D100
19/10/2024,4:24:50 pm,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,,null,,null,,null,708,18.04,4.6,4.8,UPI,D071
09/02/2024,10:51:01 am,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,,null,,null,,null,153,15.18,4.2,3.6,Uber Wallet,D074
31/03/2024,12:37:12 pm,"""CNR5444321""",Cancelled by Driver,"""CID3326946""",Bike,Sushant Lok,Noida Sector 62,6.3,,,null,1,The customer was coughing/sick,,null,,,,,null,D112
11/12/2024,5:05:36 pm,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5,35,,null,,null,,null,72,13.38,4.7,4.2,Cash,D100
19/06/2024,4:19:41 pm,"""CNR6851549""",Incomplete,"""CID9560489""",Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,,null,,null,1,Customer Demand,282,11.81,,,UPI,D026
20/06/2024,6:58:36 pm,"""CNR3318044""",No Driver Found,"""CID4051792""",Go Mini,Adarsh Nagar,Gwal Pahari,,,,null,,null,,null,,,,,null,D081
10/07/2024,2:23:12 am,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,10.9,43.6,,null,,null,,null,696,30.9,4.7,3.7,UPI,D029
06/02/2024,9:27:00 pm,"""CNR6453539""",Incomplete,"""CID6999817""",eBike,New Colony,Jasola,5.7,18,,null,,null,1,Vehicle Breakdown,936,14.91,,,Uber Wallet,D096
30/09/2024,12:34:51 pm,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,,null,,null,,null,2169,44.25,4.4,4.3,Uber Wallet,D092
20/09/2024,1:09:16 pm,"""CNR1970319""",Completed,"""CID6085619""",eBike,Meerut,Udyog Bhawan,9.5,24.6,,null,,null,,null,136,45.46,3.2,3.8,Uber Wallet,D103
30/04/2024,8:25:28 pm,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,,null,,null,,null,214,2.91,4.1,4.7,UPI,D076
04/06/2024,8:38:07 pm,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,Akshardham,Mayur Vihar,10.3,16.4,,null,,null,,null,835,37.57,4.2,4.8,UPI,D082
30/10/2024,4:29:36 pm,"""CNR3274519""",Cancelled by Driver,"""CID3829804""",eBike,Chhatarpur,Gurgaon Sector 29,6,,,null,1,More than permitted people in there,,null,,,,,null,D108
11/08/2024,6:21:32 pm,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,IMT Manesar,Ashram,2.6,36.2,,null,,null,,null,705,40.18,3.9,4.8,UPI,D024
21/05/2024,5:39:58 pm,"""CNR5822542""",No Driver Found,"""CID1628370""",Uber XL,Madipur,DLF City Court,,,,null,,null,,null,,,,,null,D125
08/10/2024,8:52:57 am,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,Azadpur,Khan Market,2.1,35.5,,null,,null,,null,480,20.22,4.3,4.8,Debit Card,D011
26/03/2024,6:59:52 pm,"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,14.4,,1,AC is not working,,null,,null,,,,,null,D011
24/06/2024,6:04:39 pm,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,,null,,null,,null,707,44.76,4.8,4.4,UPI,D081
28/03/2024,7:20:01 pm,"""CNR9139265""",Cancelled by Driver,"""CID4003339""",Bike,Jhilmil,DLF Phase 3,9.9,,,null,1,Personal & Car related issues,,null,,,,,null,D112
27/09/2024,8:16:53 pm,"""CNR8036415""",Completed,"""CID9244184""",eBike,Sikanderpur,Greater Noida,10,38,,null,,null,,null,865,43.34,3.2,3.8,Cash,D105
26/04/2024,3:45:51 pm,"""CNR8433849""",Completed,"""CID7659765""",Bike,Mayur Vihar,IGNOU Road,10.8,40,,null,,null,,null,768,5.97,4.3,4.8,Cash,D097
19/05/2024,6:47:16 pm,"""CNR2948784""",Completed,"""CID7747807""",Bike,Rohini West,Yamuna Bank,7,37,,null,,null,,null,626,27.96,3.9,4.3,Uber Wallet,D112
05/06/2024,11:16:12 am,"""CNR1996806""",Completed,"""CID2293483""",Go Mini,Mandi House,Bahadurgarh,9.2,40.4,,null,,null,,null,443,21.19,4.2,5,UPI,D091
07/01/2024,4:21:31 pm,"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,7.9,,1,Driver asked to cancel,,null,,null,,,,,null,D091
19/04/2024,2:14:27 pm,"""CNR5222120""",Completed,"""CID2370613""",Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,,null,,null,,null,226,47.63,3.6,4.1,UPI,D026
31/03/2024,4:34:57 pm,"""CNR6596872""",Completed,"""CID2589193""",Auto,Shastri Nagar,Saket A Block,12.8,30.6,,null,,null,,null,449,24.4,3.3,4.1,UPI,D087
26/03/2024,7:13:05 pm,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,Vinobapuri,Shastri Park,5.9,21.1,,null,,null,,null,778,7.49,4.3,4.9,UPI,D083
10/06/2024,3:24:51 pm,"""CNR5726463""",Completed,"""CID3407189""",Bike,Rohini West,Yamuna Bank,14.7,18.8,,null,,null,,null,361,24.44,4.3,4.8,UPI,D113
16/08/2024,5:05:19 pm,"""CNR3975551""",Completed,"""CID2944423""",Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,,null,,null,,null,235,9.2,4.3,3.9,UPI,D082
04/02/2024,3:32:16 pm,"""CNR8637930""",Completed,"""CID8137475""",Go Sedan,Rohini,Botanical Garden,8.6,15.9,,null,,null,,null,186,28.09,4.2,4.4,Cash,D008
24/06/2024,6:46:34 pm,"""CNR9935095""",Incomplete,"""CID7359331""",Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,,null,,null,1,Other Issue,544,3.37,,,Cash,D119
23/03/2024,11:31:18 am,"""CNR8893726""",No Driver Found,"""CID8335294""",Bike,IFFCO Chowk,Dilshad Garden,,,,null,,null,,null,,,,,null,D114
21/07/2024,10:45:00 am,"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,13.1,,1,Driver asked to cancel,,null,,null,,,,,null,D088
22/09/2024,6:39:39 am,"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,8.1,,1,Change of plans,,null,,null,,,,,null,D092
26/05/2024,10:36:05 pm,"""CNR7036055""",Completed,"""CID7359512""",Bike,Faridabad Sector 15,Vinobapuri,7.7,25,,null,,null,,null,86,40.1,3.6,4.4,Cash,D100
30/03/2024,1:55:19 pm,"""CNR3449107""",Cancelled by Driver,"""CID8684841""",Auto,Sarai Kale Khan,Central Secretariat,8.1,,,null,1,Personal & Car related issues,,null,,,,,null,D078
19/09/2024,8:47:23 am,"""CNR6919653""",No Driver Found,"""CID5736754""",Go Mini,Vishwavidyalaya,MG Road,,,,null,,null,,null,,,,,null,D078
26/12/2024,4:16:56 pm,"""CNR8504461""",Completed,"""CID3984123""",Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,,null,,null,,null,234,42.5,3.7,4.9,Cash,D036
28/06/2024,10:22:29 am,"""CNR3712671""",Cancelled by Driver,"""CID5160108""",eBike,Mayur Vihar,Vidhan Sabha,11.9,,,null,1,The customer was coughing/sick,,null,,,,,null,D100
30/11/2024,6:36:50 pm,"""CNR8819329""",Completed,"""CID6695773""",Go Sedan,Vaishali,Tilak Nagar,6,44.4,,null,,null,,null,758,41.42,4.9,3.6,Cash,D015
04/11/2024,1:46:26 pm,"""CNR3734278""",Incomplete,"""CID6462328""",Auto,Kashmere Gate ISBT,Laxmi Nagar,7.9,16.7,,null,,null,1,Other Issue,629,17.52,,,UPI,D072
16/04/2024,7:41:40 pm,"""CNR2472864""",Completed,"""CID7156852""",Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,,null,,null,,null,273,31.69,4.4,4.8,UPI,D066
12/09/2024,5:52:14 am,"""CNR3239651""",Completed,"""CID9573465""",Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,,null,,null,,null,117,33.74,4.5,3.7,Debit Card,D079
07/06/2024,6:08:10 pm,"""CNR2646387""",Completed,"""CID8652330""",Go Sedan,Khan Market,Central Secretariat,13.3,15.8,,null,,null,,null,955,36.82,3.7,3.7,UPI,D005
01/06/2024,3:55:36 pm,"""CNR4724814""",Completed,"""CID1251463""",Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,,null,,null,,null,139,38.75,4.4,4.3,UPI,D009
05/05/2024,2:17:24 pm,"""CNR2200152""",Completed,"""CID6635464""",Go Mini,Mansarovar Park,Rohini,13.3,30.7,,null,,null,,null,255,17.07,4.3,4.4,Cash,D087
15/01/2024,5:05:26 pm,"""CNR5060137""",Completed,"""CID2961093""",Auto,Rithala,Aya Nagar,9.5,18,,null,,null,,null,1212,19.18,4.3,4.3,UPI,D093
08/07/2024,5:50:10 pm,"""CNR9291876""",Completed,"""CID9026677""",Go Sedan,Shastri Park,Indraprastha,10,23.6,,null,,null,,null,81,23.93,4.7,3.9,Debit Card,D017
14/08/2024,5:41:00 pm,"""CNR4212658""",Completed,"""CID5774800""",Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,,null,,null,,null,940,29.09,4.2,4.6,UPI,D077
31/07/2024,5:07:36 pm,"""CNR7677229""",Cancelled by Driver,"""CID8986725""",Auto,Jhilmil,Vidhan Sabha,8.5,,,null,1,The customer was coughing/sick,,null,,,,,null,D085
08/05/2024,4:37:21 pm,"""CNR4415643""",Completed,"""CID4718297""",eBike,Saidulajab,Hauz Khas,10,17.9,,null,,null,,null,98,27.55,4.2,4.1,Cash,D099
29/07/2024,12:28:32 pm,"""CNR4092218""",Completed,"""CID5726360""",Premier Sedan,Tughlakabad,Meerut,5.9,15.5,,null,,null,,null,724,14,4.1,4.2,Cash,D034
09/08/2024,4:41:35 pm,"""CNR8034979""",Completed,"""CID1915443""",eBike,Kashmere Gate,Karkarduma,8,25.3,,null,,null,,null,749,47.3,4.4,4.3,UPI,D109
15/08/2024,10:15:54 pm,"""CNR7228014""",No Driver Found,"""CID3515824""",eBike,Madipur,Saket,,,,null,,null,,null,,,,,null,D114
02/10/2024,9:10:13 am,"""CNR1435581""",Completed,"""CID1856576""",Auto,Shastri Park,Barakhamba Road,11.5,37.4,,null,,null,,null,244,14.59,4.1,4.8,UPI,D084
12/05/2024,1:09:07 am,"""CNR5373942""",No Driver Found,"""CID7792143""",Auto,Nawada,Jahangirpuri,,,,null,,null,,null,,,,,null,D075
